Source | Destination | Message Type | Message Length | TimeStamp
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:39.681980
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:39.719090
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:39.719090
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:39.883157
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:39.883157
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:39.920267
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:39.920267
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:40.084334
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:40.084334
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:40.121445
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:40.121445
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:40.285513
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:40.285513
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:40.322622
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:40.322622
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:40.487200
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:40.487200
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:40.524310
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:40.524310
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:40.688414
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:40.688414
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:40.725525
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:40.725525
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:40.890099
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:40.890099
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:40.927209
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:40.927209
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:41.091275
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:41.091275
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:41.128386
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:41.128386
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:41.292453
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:41.292453
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:41.329567
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:41.329567
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:41.493631
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:41.493631
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:41.530740
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:41.530740
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:41.694807
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:41.694807
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:41.731918
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:41.731918
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:41.895985
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:41.895985
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:41.933096
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:41.933096
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:42.097672
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:42.097672
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:42.134783
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:42.135758
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:42.298852
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:42.298852
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:42.335962
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:42.335962
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:42.500034
